Pilot,Description,Skill1,,Skill2,,Skill3,,Skill4,,image
Yan Zhi,"Although the Drunken Guest Tavern isn't very well-known in the area, its operator Yan Zhi is a beautiful and gentle woman who can whip up a delicious meal. Despite this, it's hard to explain why exactly major players from both sides of the law show their faces in the bar from time to time. Yan Zhi's beautiful face and the reality behind it are full of a mysterious aura that's difficult to pin down.","Fire Top

Firework Cyclone","Launches 6 fire tops. Damage increases with skill level

Release 6 fireworks around the user creating a cyclone of firewroks. Damage increases with skill level.",Seduction,"Seducing an enemy every 5 s to target yourself, but ATK-50% for 2s

Seduces an enemy every 5s making it target the user and decreases the targets ATK-50% for 2s.",Bartender,"Each weapon with a different element type causes a final damage increase of 3%

For each unqiue elemental weapon equiped on the mech the user pilots, increase final damage by 3%.",Social Butterfly,"Every time there is a different force or lieutenant on the field, increase10 HP/s. Can not be stacked with recover per second type.

For each unique faction on the field, gradually heal for 10 HP/s. This effect cannot stack.",
Ying Lin,"One of the Twin Kirins of Spirit Beast Project. He has the appearance of a young adult but actually is only 7 years old. As the successor of Magic Dance Fist, he is quiet and likes to play Far East's Lyre under the moonlight.",Arc Moon Flash,Instantly collides a random enemy. Damage increases with skill level.,Magic Dance Fist,Gains an extra command of Magic Dance Fist to the mecha. Skill cooldown will be reduced as level increases. The minimum cooldown is 10 seconds.,Warrior,"When there are enemies around, the final damage taken-15%. Cannot be stacked.",Tranquility,Damage taken-10%. Becomes immune to burning. The duration of stun and interference-50%,https://i.imgur.com/9pua4Tb.png
Ying Qi,"One of the Kirin Twins of the Spirit Beast Project. He has the appearance of a young adult but is actually only 7 years old. Being untamed, he likes traveling around the world to experience everything.",Hey! Small Fry!,"Attracts all enemies' firepower Heals 30% for 6s. DEF+30% for 6s. Heal can be overwritten by any instantaneous heals (Kelly first aid, Guinevere's Emergency Treatment, Repair Core Etc.).",Focus,9% chance to block all attacks. Can be stacked.,Faith,The duration of debuffs -40%.,Warrior,"When there are enemies around, the final damage taken-15%. Cannot be stacked.",https://i.imgur.com/nHns9dq.png
Yumeno Shiori,"A bit of a fallen angel, here to gobble you up!
I'm just an ecchi succubs/fallen angel, here to gobble you up!",ASMR,"感觉身体被掏空，全体敌军失去大多数异常抗性，持续5s秒
Removes all opponents immunity for {time}s.","童音
Dream Land","身边敌人受到梦乃栞的童音影响，失去攻击欲望，攻击和怒气持续减少，随等级提升效果
Opponents around Yumeno Shiori will fall into a dream land coma. Opponents in the radius will receive an attack debuff and continuously lose sp.","欧尼酱剑法
Onii-chan! Please No!","受到攻击时，无视冷却立即使用架招反击，如果没有架招，则发出尖叫。最小触发间隔7秒
Upon attacked, instantly counterattacks with mech’s counter ability even if it is on cooldown. If the mech Yumeno Shiori is piloting doesn’t have a counter ability, releases a loud scream instead. Cooldown: {interval}s","一亿岁堕天使
10 Billion Year Old Fallen Angel","提高2800耐久，每天额外提高10耐久(当前额外提高1000耐久，最高1000)
Hp+ {value1:值}. Increases Max Hp by 10 each day. (Current Additional Hp: {value1:值}. Maximum 1000 additional Hp)",
Zoe,佐伊是一名交警，为人柔弱怕生的她为了弥补自己的缺点，执勤时经常使用喇叭。她饲养着一条名为“信号”的柯基作为警犬（虽然大多数时间是帮倒忙）。为了守护更多的人，佐伊选择了成为BM驾驶员。,交通管制,呼叫友军集火敌人，并使全体敌人立刻停止移动，但无法阻止瞬移，持续4s秒,黏着弹,攻击100%概率附带减速效果，并导致敌人对减速效果抗性永久降低25%,接受检查,对被减速的目标造成最终伤害提升32%,限速行驶,敌人发动冲锋动作时，对其造成短暂的冰冻效果，升级减少触发间隔,
"伊莎贝拉
Isabella","The clerk of the Empire's Parliament. Once a simple orphan girl selling flowers, she was adopted by nobles and thus became one herself. Relying on her beauty and her skills in attracting favor, she has successfully hidden herself among the nobles that look down on the common folk. The nobles view her as nothing more than a decorative vase. But little do they know, beautiful flowers often hide poisonous thorns.",Phosphorus Garden,Rerleases various nano light butterfly. Number increases with skill level,Miniaturization,5% chance for light attribute to minimize an enemy and disarm him. Minmum Interval: 4s,Nano Light Butterfly · Defense,Releases butterfly-shaped nanobots every 6 to help allies improve defense and remove debuffs,Nano Light Butterfly · Heal,Releases butterfly-shaped nanobots every 6 to help allies Heal HP and remove debuffs,
傲兰,有些木讷，呆板的男人，虽然外表给人凶恶的感觉，但内心却是个温柔细腻的人，身为极东人十分重情义，为了特殊部队“新四凶”的事务四处奔走，过着五脊六兽的生活。,立地通天炮,装填并跳过武器蓄力时间使用所有武器射击，射击过程中霰弹、单发武器攻击增加35%,Ballistics,Bullet speed+20. Non-missile weapon scattering angle-50%,Shotgun User,Shotgun's Attack +0% and shotgun shrapnel +1.,单发弹仓改造,单发武器弹仓增加1，单发武器装填加快28%,
"孙一峰
????","Back then, you could say that my brother Sun Yifeng was the warlord of the fish market. Relying on his extraordinary intelligence and intuition, he could rally troops, drive and shoot, and was even unrivalled in chess and mah jong. As for the power a mech reader.pilot possesses, you morons better keep your jabber to yourselves.",拱墅回旋,Floors the gas pedal 4.8s. Knocks off everyone on the way with damage. Can hit one target multiple times.,Shadow Shift,91% probability to change position for both sides when receives melee attack. Minimum interval 2.4s. 9.1% success rate for female characters,Deep Sea Guardian,"Knock off enemies, ATK+15% for 3s for yourself Knock off teammates, DEF+15% for 3s",光速舔包,Shiftly collects plunder when nearby units die. Gets in stealth Heals 18% HP temporarily and half magazine. Minimum interval 3s.,
"沃伦·索罗斯
Warren·Soros",G.O.E防务集团内的女性员工评选出的最适合当老公的男人第一位。年纪轻轻便成G.O.E最高决策层之一的沃伦·索罗斯，为人温柔和蔼，礼貌谦逊，无论在员工还是同事中都很受欢迎，只是偶尔会露出意味深长的目光……,黑色绅士,10s秒内，敌方机师光环类被动失效,伪善的面具,13s秒内，目标受到的正面效果变成随机负面效果，造成的负面效果无视抗性。,交涉失败,与敌人发生碰撞时，弹开双方并呼叫友军集火目标，触发间隔4s秒,Resistance Aura,Group Aura: Debuff resistance+ 20%. Applies only to living allies.,
"艾莉西亚
Alicia","Alicia is a young and talented noble of the Empire. While she believes that nobles deserve their place above the level of the common folk, she also believes that they have a duty to protect their subjects. She bitterly detests the corrupt behavior of many other nobles, and has made enemies of a number of them.",Saint Light Curtain,Generates shield for all allies to block 2000 points of bullet damage. Can not be stacked with the same type shield,Elegance,Recover HP at a speed of 2.1%/s if not hurt in 1s. Can not be stacked with per second recover type Recovers 2.1%HP per second after not taking damage for 1s. Cannot be stacked with other per second Recover effects,Noble's obligation,Teammate with the lowest HP+17.5% DEF Boosts +17.5%DEF the teammate with lowest HP,Faith,The duration of debuffs -40%.,
"贝娅特莉丝
Beatrice","A lively archaeologist from the Empire investigating the Barbara region, she wears a strange hat that holds her late adventurer grandfather's consciousness. Although he often speaks to his granddaughter harshly, he always comes up with clever solutions to escape disaster whenever danger appears during an adventure.",Time still,Steals target's time. Target's shells become motionless for 2.1s,Squid like,Spews smoke to interfere with the enemies. Minmum interval: 6s,Smoke bombing,Uses smoke grenades to interfere enemies. Interval reduces as level ups,Adversity Survival,Debuff resistance+ 1% every 1s. Up to 100%.,
